gvkey,conm,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001000,A & E PLASTIK PAK INC,P,01,LU,25881,23369,19701113,19780630
001001,A & M FOOD SERVICES INC,P,01,LU,10015,6398,19830920,19860731
001002,AAI CORP,C,01,LC,10023,22159,19721214,19730605
001003,A.A. IMPORTING CO INC,C,01,LU,10031,6672,19831207,19890816
001004,AAR CORP,P,01,LU,54594,20000,19720424,E
001005,A.B.A. INDUSTRIES INC,C,01,LU,61903,11,19730131,19830131
001007,ABKCO INDUSTRIES INC,P,01,LU,10058,20,19790131,19840928
001007,ABKCO INDUSTRIES INC,C,00X,LU,10058,20,19731001,19790130
001008,ABM COMPUTER SYSTEMS INC,P,01,LC,10066,6331,19830825,19871030
001009,ABS INDUSTRIES INC,C,01,LC,10074,5271,19820118,19960313
001010,ACF INDUSTRIES HOLDING CORP,P,01,LU,10006,22156,19620131,19840628
001010,ACF INDUSTRIES HOLDING CORP,C,00X,LU,10006,22156,19500501,19620130
001011,ACS ENTERPRISES INC,P,01,LC,10082,5793,19830321,19950928
001012,ACS INDUSTRIES INC,P,01,LU,10103,52,19780131,19891229
001013,ADC TELECOMMUNICATIONS INC,P,01,LU,50906,2902,19790316,20101231
001015,ADI ELECTRONICS INC,P,01,LU,66405,5204,19820129,19861031
001016,AEC INC,P,01,LC,10146,314,19771130,19880426
001017,AEL INDUSTRIES  -CL A,P,01,LC,10154,81,19721214,19960229
001018,AES TECHNOLOGY SYSTEMS INC,C,00X,LU,10162,88,19730701,19790130
001018,AES TECHNOLOGY SYSTEMS INC,C,01,LU,10162,88,19790131,19810304
001019,AFA PROTECTIVE SYSTEMS INC,C,01,LC,10189,93,19721214,19880209
001020,AFG INDUSTRIES INC,P,02,LC,68806,100,19721214,19880405
001021,AFP IMAGING CORP,P,01,LU,10218,109,19801014,19990319
001022,AGM INDUSTRIES INC,P,01,LU,10234,118,19760831,19830728
001022,AGM INDUSTRIES INC,C,00X,LU,10234,118,19730701,19760830
001023,AGS COMPUTERS INC,P,01,LU,66755,5542,19820609,19881005
001024,A I A INDUSTRIES INC,P,01,LU,10269,6202,19830721,19840928
001025,A I C INTL INC,C,01,LU,47351,306,19730131,19850319
001026,AID INC-DEL CL A,P,01,LU,10277,134,19721214,19780531
001027,A I M COS,P,01,LU,28601,23555,19660131,19710528
001028,AIM TELEPHONES INC,P,01,LU,10285,5148,19811029,19920131
001029,A.I.N. LEASING CORP,P,01,LU,10293,6069,19830615,19851031
001030,A I T S INC,C,01,LU,10306,145,19730131,19741016
001031,A J INDS INC,C,00X,LU,10014,22157,19600401,19660130
001031,A J INDS INC,P,01,LU,10014,22157,19660131,19770331
001034,ALPHARMA INC  -CL A,P,01,LC,65832,20007,19840215,20081229
001036,UNITED DOMINION INDUSTRIES,C,01,LC,65453,20008,19831206,20010531
001037,AM COMMUNICATIONS INC,C,01,LU,10314,255,19801007,19880825
001038,AMC ENTERTAINMENT INC -OLD,P,01,LU,66413,6301,19830818,20041231
001039,AMC INVESTORS INC,P,01,LC,50526,25132,19700429,19791130
001040,AMF INC,C,00X,LU,15763,22631,19500101,19620130
001040,AMF INC,P,01,LU,15763,22631,19620131,19851031
001042,AMI SYSTEMS INC,P,01,LU,10365,5554,19820621,19850628
001043,MULTIGRAPHICS INC,C,01,LC,18980,20009,19620131,19820427
001043,MULTIGRAPHICS INC,C,01,LC,80071,30061,19931206,20000127
001043,MULTIGRAPHICS INC,C,00X,LC,18980,20009,19501230,19620130
001043,MULTIGRAPHICS INC,C,01,LC,18980,20009,19840510,19930519
001044,AMK CORP,C,01,LU,37591,21816,19680131,19700630
001045,AMERICAN AIRLINES GROUP INC,C,00X,LC,21020,20010,19500101,19620130
001045,AMERICAN AIRLINES GROUP INC,P,04,LC,21020,20010,20131209,E
001045,AMERICAN AIRLINES GROUP INC,P,01,LC,21020,20010,19620131,20120104
001046,AMS/REALSTAR INC,P,01,LU,10373,7023,19840511,19850531
001047,ANEFCO INC,C,01,LU,10381,3182,19810812,19830531
001049,APF ELECTRONICS,P,01,LU,10400,304,19760130,19820526
001050,CECO ENVIRONMENTAL CORP,P,01,LU,11499,176,19801128,E
001052,API TRUST,P,01,LU,10402,311,19790131,19830331
001052,API TRUST,C,00X,LU,10402,311,19730401,19790130
001054,ASK GROUP INC,P,01,LU,10429,5118,19811001,19940930
001055,AST RESEARCH INC,P,01,LU,85041,7357,19841220,19970829
001056,AEROFLEX INC,P,01,LC,62500,336,19770630,20070831
001057,ABEX CORP,P,01,LC,10030,22160,19670131,19671229
001057,ABEX CORP,C,00X,LC,10030,22160,19640101,19670130
001058,APL CORP,C,01,LU,28636,23557,19620702,19861030
001059,A P S INC,P,01,LU,58958,25619,19721214,19810331
001061,ARI INDUSTRIES INC,C,00X,LU,10445,340,19730401,19790130
001061,ARI INDUSTRIES INC,P,01,LU,10445,340,19790131,19801031
001062,ASA GOLD AND PRECIOUS METALS,P,01,LU,26649,20015,19650129,E
001065,AT&E CORP,C,01,LU,71239,5894,19830404,19910719
001066,ATE ENTERPRISES INC,C,01,LC,55335,1911,19840131,19861204
001067,ATI INC,C,00X,LC,28652,23559,19620702,19660130
001067,ATI INC,P,01,LC,28652,23559,19660131,19841227
001069,ATV SYSTEMS INC,C,01,LU,10480,6509,19831018,19841016
001070,AVC CORP,P,01,LC,21549,23079,19680131,19810430
001070,AVC CORP,C,00X,LC,21549,23079,19680101,19680130
001072,AVX CORP,C,01,LC,81912,30930,19950815,E
001072,AVX CORP,C,01,LC,56899,25544,19730330,19900118
